"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Both Sexes","Not Available","Not Available","0.28","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Female","Not Available","Not Available","0.16","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Male","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Finland","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","France","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","France","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
